epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,16.6975,0.48168,0.61147,1.35004,0.98114,0.5,0.86911,0.71844,0.78238,1.61525,1.43142,0.000131776,0.000131776,0.000131776
57,16.9677,0.74783,0.50144,1.271,0.98145,0.5,0.86633,0.71622,0.77139,1.69865,1.44489,0.000131256,0.000131256,0.000131256
58,17.2204,0.62389,0.70209,1.14666,0.98145,0.5,0.86633,0.71622,0.77139,1.69865,1.44489,0.000130632,0.000130632,0.000130632
59,17.4746,0.75762,0.51688,1.36938,0.98145,0.5,0.86633,0.71622,0.77139,1.69865,1.44489,0.000129903,0.000129903,0.000129903
60,17.7471,0.73506,0.48154,1.44703,0.98106,0.5,0.84722,0.70112,0.78061,1.72051,1.47282,0.00012907,0.00012907,0.00012907
61,18.0109,0.7899,0.5469,1.01875,0.98106,0.5,0.84722,0.70112,0.78061,1.72051,1.47282,0.000128134,0.000128134,0.000128134
62,18.2646,0.8111,0.55071,1.30661,0.98106,0.5,0.84722,0.70112,0.78061,1.72051,1.47282,0.000127093,0.000127093,0.000127093
63,18.6112,0.84507,0.57223,1.6943,0.98196,0.5,0.84722,0.70127,0.77447,1.78191,1.4928,0.000125948,0.000125948,0.000125948
64,18.8834,0.89644,0.62861,1.32294,0.98196,0.5,0.84722,0.70127,0.77447,1.78191,1.4928,0.000124698,0.000124698,0.000124698
65,19.1388,0.72072,0.46572,1.14317,0.98196,0.5,0.84722,0.70127,0.77447,1.78191,1.4928,0.000123345,0.000123345,0.000123345
66,19.4108,0.85861,0.60089,1.2911,0.98204,0.5,0.84722,0.70127,0.76875,1.77111,1.50916,0.000121887,0.000121887,0.000121887
67,19.6651,0.90837,0.63723,1.70037,0.98204,0.5,0.84722,0.70127,0.76875,1.77111,1.50916,0.000120326,0.000120326,0.000120326
68,20.0037,0.91039,0.64016,1.19527,0.98204,0.5,0.84722,0.70127,0.76875,1.77111,1.50916,0.00011866,0.00011866,0.00011866
69,20.2861,0.63355,0.45948,1.03149,0.98371,0.5,0.84722,0.68837,0.77577,1.86335,1.53215,0.00011689,0.00011689,0.00011689
70,20.5447,0.93446,0.60963,1.34972,0.98371,0.5,0.84722,0.68837,0.77577,1.86335,1.53215,0.000115016,0.000115016,0.000115016
71,20.8057,0.78854,0.54104,1.28319,0.98371,0.5,0.84722,0.68837,0.77577,1.86335,1.53215,0.000113037,0.000113037,0.000113037
72,21.0719,0.5138,0.42498,1.13491,0.98342,0.5,0.84533,0.69957,0.78455,1.85134,1.55017,0.000110955,0.000110955,0.000110955
73,21.3296,0.8446,0.57474,1.57469,0.98342,0.5,0.84533,0.69957,0.78455,1.85134,1.55017,0.000108768,0.000108768,0.000108768
74,21.6693,0.53578,0.5168,1.29214,0.98342,0.5,0.84533,0.69957,0.78455,1.85134,1.55017,0.000106478,0.000106478,0.000106478
75,21.9817,0.68895,0.47394,1.02201,0.98365,0.5,0.84379,0.68537,0.80752,1.98184,1.56291,0.000104083,0.000104083,0.000104083
76,22.2416,0.81692,0.5301,1.12719,0.98365,0.5,0.84379,0.68537,0.80752,1.98184,1.56291,0.000101584,0.000101584,0.000101584
77,22.5087,0.63351,0.47207,1.30305,0.98365,0.5,0.84379,0.68537,0.80752,1.98184,1.56291,9.89806e-05,9.89806e-05,9.89806e-05
78,22.7961,0.90466,0.711,1.69543,0.98669,0.5,0.84722,0.68837,0.80636,1.85798,1.57483,9.62733e-05,9.62733e-05,9.62733e-05
79,23.1244,0.7267,0.50885,1.14105,0.98669,0.5,0.84722,0.68837,0.80636,1.85798,1.57483,9.34618e-05,9.34618e-05,9.34618e-05
80,23.3805,0.71536,0.51274,1.06014,0.98669,0.5,0.84722,0.68837,0.80636,1.85798,1.57483,9.05462e-05,9.05462e-05,9.05462e-05
81,23.6503,0.66257,0.56006,1.17915,0.98754,0.5,0.84533,0.68672,0.81678,1.81933,1.54769,8.75264e-05,8.75264e-05,8.75264e-05
82,23.9234,0.89999,0.72183,1.63323,0.98754,0.5,0.84533,0.68672,0.81678,1.81933,1.54769,8.44025e-05,8.44025e-05,8.44025e-05
83,24.2339,0.8036,0.58487,1.43656,0.98754,0.5,0.84533,0.68672,0.81678,1.81933,1.54769,8.11744e-05,8.11744e-05,8.11744e-05
84,24.5381,0.95027,0.65206,1.38458,0.98799,0.5,0.84379,0.68537,0.82454,1.80726,1.56179,7.78422e-05,7.78422e-05,7.78422e-05
85,24.9022,0.88214,0.5768,1.50926,0.98799,0.5,0.84379,0.68537,0.82454,1.80726,1.56179,7.44059e-05,7.44059e-05,7.44059e-05
86,25.1822,0.9141,0.60823,1.45493,0.98799,0.5,0.84379,0.68537,0.82454,1.80726,1.56179,7.08654e-05,7.08654e-05,7.08654e-05
87,25.4524,0.79208,0.52798,1.31876,0.98799,0.5,0.84379,0.68537,0.82454,1.80726,1.56179,6.72207e-05,6.72207e-05,6.72207e-05
88,25.7366,0.85872,0.54971,1.23431,0.98621,0.5,0.84722,0.68857,0.82218,1.81864,1.56655,6.34719e-05,6.34719e-05,6.34719e-05
89,25.9913,0.62414,0.62831,1.10484,0.98621,0.5,0.84722,0.68857,0.82218,1.81864,1.56655,5.96189e-05,5.96189e-05,5.96189e-05
90,26.316,0.74583,0.54782,1.42426,0.98621,0.5,0.84722,0.68857,0.82218,1.81864,1.56655,5.56618e-05,5.56618e-05,5.56618e-05
91,26.9066,0.72101,0.52263,1.00752,0.98621,0.5,0.84722,0.68857,0.82218,1.81864,1.56655,5.16006e-05,5.16006e-05,5.16006e-05
92,27.2739,0.73422,0.53427,1.39544,0.98802,0.5,0.84533,0.64069,0.84529,1.78838,1.58151,4.74352e-05,4.74352e-05,4.74352e-05
93,27.6126,0.76441,0.5041,1.19498,0.98802,0.5,0.84533,0.64069,0.84529,1.78838,1.58151,4.31657e-05,4.31657e-05,4.31657e-05
94,27.942,0.66117,0.41913,1.33648,0.98802,0.5,0.84533,0.64069,0.84529,1.78838,1.58151,3.8792e-05,3.8792e-05,3.8792e-05
95,28.2176,0.75736,0.46095,1.14709,0.98802,0.5,0.84533,0.64069,0.84529,1.78838,1.58151,3.43141e-05,3.43141e-05,3.43141e-05
96,28.5783,0.79039,0.47193,1.24374,0.98386,0.5,0.84379,0.6725,0.85479,1.7491,1.57514,2.97322e-05,2.97322e-05,2.97322e-05
97,28.8493,0.74219,0.55274,1.19674,0.98386,0.5,0.84379,0.6725,0.85479,1.7491,1.57514,2.5046e-05,2.5046e-05,2.5046e-05
98,29.1082,0.65638,0.40104,1.37011,0.98386,0.5,0.84379,0.6725,0.85479,1.7491,1.57514,2.02557e-05,2.02557e-05,2.02557e-05
99,29.367,0.74901,0.5491,1.44915,0.98386,0.5,0.84379,0.6725,0.85479,1.7491,1.57514,1.53613e-05,1.53613e-05,1.53613e-05
100,29.6471,0.68393,0.46092,1.43814,0.98332,0.5,0.67795,0.56948,0.86819,1.89377,1.57728,1.03627e-05,1.03627e-05,1.03627e-05
